,,"  M.V ""AL BAZM II""    O F F I C I A L     R O B  2025",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,E v e n t,D a t e,,Time,H R S,H F O,S t a t u s,P l a c e,Slip,Total Distance (NM),Avg Speed (KNOTS),Total FOC (MT),FOC ME/GE (MT),Engine   ,RPM
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,EOSP,23-Nov-2024,,10.00,12.3,272.5,,Arrival .KP,26.7,114.6,9.3,7.3,6.1/1.2,40%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,24-Nov-2024,,8.18,,267.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,24-Nov-2024,,20.48,12.5,260.2,,Arrival .RWS,22.0,126.6,10.1,7.6,6.3/1.3,41%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,25-Nov-2024,,20.06,,254.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Nov-2024,,8.30,12.4,247.3,,Arrival .KP,25.9,117.7,9.5,7.3,6.2/1.1,41%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,27-Nov-2024,,3.06,,243.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,27-Nov-2024,,14.06,11.0,235.5,,Arrival .RWS,22.4,127.4,11.6,7.5,6.5/1.0,45%,129.0
,,,,,,,,,,,,,,,,
,,FAOP,28-Nov-2024,,12.00,,229.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,29-Nov-2024,,0.00,12.0,222.4,,Arrival .KP,26.2,116.6,9.7,7.5,6.3/1.2,40%,125.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,FAOP,29-Nov-2024,,21.12,,217.4,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,30-Nov-2024,,8.00,10.8,208.6,,Arrival .RWS,24.0,124.8,11.6,8.8,7.7/1.1,64%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,1-Dec-2024,,10.54,,202.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,1-Dec-2024,,23.00,12.1,195.1,,Arrival .KP,26.0,118.7,9.8,7.4,6.3/1.1,45%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,2-Dec-2024,,15.54,,191.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,3-Dec-2024,,4.12,12.3,183.8,,Arrival .RWS,17.4,117.6,9.6,7.2,6.1/1.1,43%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,4-Dec-2024,,1.30,,178.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,4-Dec-2024,,13.30,12.0,171.4,,Arrival .KP,26.6,118.0,9.8,7.4,6.2/1.2,42%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,5-Dec-2024,,8.30,,167.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,5-Dec-2024,,19.48,11.3,160.6,,Arrival .RWS,19.0,121.5,10.8,7.2,5.7/1.2,41%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,6-Dec-2024,,18.18,,155.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,7-Dec-2024,,5.24,11.1,148.1,,Arrival .KP,20.9,119.8,10.8,7.2,6.2/1.0,43%,128.0
,,,,,,,,,,,,,,,,
,,FAOP,7-Dec-2024,,20.30,,144.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,8-Dec-2024,,8.00,11.5,137.0,,Arrival .RWS,20.4,125.1,10.9,7.6,6.5/1.1,48%,129.0
,,,,,,,,,,,,,,,,
,,FAOP,9-Dec-2024,,7.00,,131.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,9-Dec-2024,,18.00,11.0,122.0,,Arrival .KP,24.5,119.4,10.9,9.3,8.3/1.0,60%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,10-Dec-2024,,14.30,,117.5,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,11-Dec-2024,,2.18,11.8,110.3,,Arrival .RWS,22.0,121.3,10.3,7.2,6.1/1.1,41%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,12-Dec-2024,,9.12,,103.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,12-Dec-2024,,19.00,9.8,95.1,,Arrival .KP,22.0,116.7,11.9,8.2,7.2/1.0,62%,143.0
,,,,,,,,,,,,,,,,
,,FAOP,13-Dec-2024,,18.48,,89.9,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,14-Dec-2024,,5.30,10.7,82.7,,Arrival .RWS,16.5,120.7,11.3,7.2,6.1/1.1,45%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,14-Dec-2024,,23.30,,77.7,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,15-Dec-2024,,12.00,12.5,70.0,,Arrival .KP,28.3,120.3,9.6,7.7,6.5/1.2,43%,126.0
,,,,,,,,,,,,,,,,
,,FAOP,16-Dec-2024,,15.36,,564.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,17-Dec-2024,,3.48,12.2,556.5,,Arrival .RWS,25.8,120.5,9.9,7.5,6.4/1.1,43%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,21-Dec-2024,,0.30,,522.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,21-Dec-2024,,12.00,11.5,515.0,,Arrival .KP,27.9,108.8,9.5,7.0,5.8/1.2,40%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,22-Dec-2024,,5.42,,510.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,22-Dec-2024,,18.12,12.5,502.0,,Arrival .RWS,25.0,126.5,10.1,8.6,7.4/1.2,53%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,23-Dec-2024,,12.00,,496.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,23-Dec-2024,,21.48,9.8,489.2,,Arrival .KP,22.5,105.7,10.8,6.8,5.8/1.0,53%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,24-Dec-2024,,15.00,,484.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,25-Dec-2024,,2.00,11.0,478.1,,Arrival .RWS,20.1,115.5,10.5,6.7,5.6/1.1,42%,124.0
,,,,,,,,,,,,,,,,
,,FAOP,26-Dec-2024,,2.06,,471.7,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Dec-2024,,14.06,12.0,464.0,,Arrival .KP,27.3,121.0,10.1,7.7,6.5/1.2,44%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,27-Dec-2024,,7.24,,460.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,27-Dec-2024,,18.48,11.4,452.7,,Arrival .RWS,18.0,127.5,11.2,7.3,6.2/1.1,42%,126.0
,,,,,,,,,,,,,,,,
,,FAOP,29-Dec-2024,,0.30,,446.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,29-Dec-2024,,12.00,11.5,438.6,,Arrival .KP,27.8,113.3,9.9,7.6,6.5/1.1,42%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,30-Dec-2024,,6.30,,434.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,30-Dec-2024,,18.30,12.0,426.7,,Arrival .RWS,18.0,128.4,10.7,7.3,6.0/1.3,41%,127.0
 ,,,,,,,,,,,,,,,,
,,FAOP,3-Jan-2025,,13.30,,392.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,4-Jan-2025,,1.24,11.9,384.9,,Arrival .KP,25.1,117.5,9.9,7.3,6.1/1.2,40%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,6-Jan-2025,,8.54,,375.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,6-Jan-2025,,20.30,11.6,368.1,,Arrival .RWS,19.0,124.7,10.8,7.5,6.4/1.1,44%,128.0
 ,,,,,,,,,,,,,,,,
,,FAOP,10-Jan-2025,,20.00,,336.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,11-Jan-2025,,8.54,12.9,329.4,,Arrival .KP,28.0,114.7,8.9,7.2,6.0/1.2,36%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,12-Jan-2025,,7.18,,324.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,12-Jan-2025,,19.18,12.0,317.6,,Arrival .RWS,19.0,126.9,10.6,7.2,6.1/1.1,41%,127.0
 ,,,,,,,,,,,,,,,,
,,FAOP,13-Jan-2025,,15.00,,312.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,14-Jan-2025,,3.00,12.0,306.2,,Arrival .KP,25.2,116.3,9.7,6.7,5.6/1.1,34%,117.0
,,,,,,,,,,,,,,,,
,,FAOP,14-Jan-2025,,16.12,,303.5,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,15-Jan-2025,,5.12,13.0,296.1,,Arrival .RWS,23.6,125.5,9.7,7.4,6.2/1.2,40%,119.0
 ,,,,,,,,,,,,,,,,
,,FAOP,18-Jan-2025,,23.00,,281.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,19-Jan-2025,,11.00,12.0,273.6,,Arrival .KP,26.5,116.7,9.7,7.6,6.5/1.1,39%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,20-Jan-2025,,14.06,,268.3,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,21-Jan-2025,,2.48,12.7,261.5,,Arrival .RWS,23.4,118.1,9.3,6.8,5.7/1.1,40%,117.0
 ,,,,,,,,,,,,,,,,
,,FAOP,22-Jan-2025,,1.30,,255.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,22-Jan-2025,,13.00,11.5,246.7,,Arrival .KP,30.7,112.8,9.8,9.1,8.0/1.1,52%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,23-Jan-2025,,12.00,,242.1,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,23-Jan-2025,,22.12,10.2,234.2,,Arrival .RWS,16.4,121.6,11.9,7.9,6.9/1.0,50%,134.0
 ,,,,,,,,,,,,,,,,
,,FAOP,25-Jan-2025,,6.48,,227.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,25-Jan-2025,,16.24,9.6,218.6,,Arrival .KP,21.0,116.2,12.1,8.7,7.8/0.9,57%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,26-Jan-2025,,12.00,,216.4,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,26-Jan-2025,,23.30,11.5,210.2,,Arrival .RWS,19.7,115.0,10.0,6.2,5.2/1.0,36%,117.0
 ,,,,,,,,,,,,,,,,
,,FAOP,28-Jan-2025,,0.24,,204.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,28-Jan-2025,,13.18,12.9,197.3,,Arrival .KP,23.0,115.3,8.9,7.5,6.4/1.1,42%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,29-Jan-2025,,8.30,,193.1,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,29-Jan-2025,,20.12,11.7,185.3,,Arrival .RWS,23.8,122.9,10.5,7.8,6.7/1.1,44%,127.0
 ,,,,,,,,,,,,,,,,
,,FAOP,31-Jan-2025,,1.54,,179.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,31-Jan-2025,,14.24,12.5,171.9,,Arrival .KP,28.4,115.5,9.2,8.4,7.3/1.1,43%,127.0
,,,,,,,,,,,,,,,,
,,FAOP,1-Feb-2025,,6.42,,168.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,1-Feb-2025,,18.30,11.8,160.5,,Arrival .RWS,22.0,123.6,10.5,7.7,6.6 / 1.1/ 0,45%,126.5
 ,,,,,,,,,,,,,,,,
,,FAOP,3-Feb-2025,,3.30,,153.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,3-Feb-2025,,16.00,12.5,147.0,,Arrival .KP,27.0,116.3,9.3,6.9,5.8 / 1.1  ,42%,120.7
,,,,,,,,,,,,,,,,
,,FAOP,4-Feb-2025,,10.00,,143.5,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,4-Feb-2025,,20.30,10.5,134.8,,Arrival .RWS,21.6,124.8,11.9,8.7,7.8 / 0.9  ,59%,142.0
 ,,,,,,,,,,,,,,,,
,,FAOP,5-Feb-2025,,20.30,,129.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,6-Feb-2025,,8.24,11.9,122.8,,Arrival .KP,30.9,106.7,9.0,6.7,5.7 / 1  ,44%,122.3
,,,,,,,,,,,,,,,,
,,FAOP,7-Feb-2025,,5.30,,118.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,7-Feb-2025,,17.54,12.4,112.2,,Arrival .RWS,19.1,125.2,10.1,6.6,5.5  / 1.1  ,39%,117.1
,,,,,,,,,,,,,,,,
,,FAOP,8-Feb-2025,,23.00,,106.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,9-Feb-2025,,11.30,12.5,100.0,,Arrival .KP,31.7,106.0,8.5,6.4,5.3 /1.1  ,36%,116.9
,,,,,,,,,,,,,,,,
,,FAOP,10-Feb-2025,,10.12,,96.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,10-Feb-2025,,23.24,13.2,89.2,,Arrival .RWS,23.7,124.7,9.4,7.0,5.8 / 1.2  ,38%,117.0
,,,,,,,,,,,,,,,,
,,FAOP,12-Feb-2025,,5.30,,83.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,12-Feb-2025,,18.24,12.9,76.7,,Arrival .KP,30.2,115.3,8.9,7.1,5.9 / 1.2  ,40%,121.0
,,,,,,,,,,,,,,,,
,,FAOP,13-Feb-2025,,23.30,,322.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,14-Feb-2025,,11.42,12.2,315.5,,Arrival .RWS,18.6,124.9,10.2,6.7,5.6 / 1.1  ,38%,118.6
,,,,,,,,,,,,,,,,
,,FAOP,15-Feb-2025,,21.00,,309.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,16-Feb-2025,,10.30,13.5,302.3,,Arrival .KP,30.9,118.5,8.8,6.9,5.8 / 1.1  ,39%,119.6
,,,,,,,,,,,,,,,,
,,FAOP,17-Feb-2025,,20.30,,297.7,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,18-Feb-2025,,9.00,12.5,291.3,,Arrival .RWS,17.5,129.9,10.4,6.4,5.4 / 1  ,38%,118.7
,,,,,,,,,,,,,,,,
,,FAOP,19-Feb-2025,,21.00,,285.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,20-Feb-2025,,10.30,13.5,278.6,,Arrival .KP,29.7,119.4,8.8,6.7,5.6 /1.1  ,39%,118.5
,,,,,,,,,,,,,,,,
,,FAOP,21-Feb-2025,,23.00,,273.9,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,22-Feb-2025,,12.00,13.0,268.7,,Arrival .RWS,20.3,125.6,9.7,5.2,5.1 /1.1  ,36%,114.1
,,,,,,,,,,,,,,,,
,,FAOP,23-Feb-2025,,11.30,,262.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,24-Feb-2025,,0.12,12.7,255.9,,Arrival .KP,25.8,121.7,9.6,6.9,5.8 / 1.1  ,42%,122.0
,,,,,,,,,,,,,,,,
,,FAOP,24-Feb-2025,,19.00,,253.1,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,25-Feb-2025,,9.00,14.0,245.8,,Arrival .RWS,29.1,125.0,8.9,7.3,6.1 /1.2  ,41%,118.6
,,,,,,,,,,,,,,,,
,,FAOP,27-Feb-2025,,18.30,,237.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,28-Feb-2025,,8.30,14.0,230.3,,Arrival .KP,27.8,126.9,9.1,7.0,5.9 / 1.1  ,40%,118.2
,,,,,,,,,,,,,,,,
,,FAOP,1-Mar-2025,,2.30,,227.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,1-Mar-2025,,16.00,13.5,220.7,,Arrival .RWS,24.4,126.0,9.3,6.9,5.9 / 1  ,38%,116.3
,,,,,,,,,,,,,,,,
,,FAOP,2-Mar-2025,,14.00,,214.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,3-Mar-2025,,4.00,14.0,207.5,,Arrival .KP,30.8,121.5,8.7,7.4,6.3 / 1.1  ,39%,118.3
,,,,,,,,,,,,,,,,
,,FAOP,4-Mar-2025,,4.00,,203.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,4-Mar-2025,,16.30,12.5,197.3,,Arrival .RWS,21.3,122.9,9.8,6.5,5.4 / 1.1  ,40%,118.2
 ,,,,,,,,,,,,,,,,
,,FAOP,6-Mar-2025,,17.30,,187.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,7-Mar-2025,,9.00,15.5,180.1,,Arrival .KP,34.2,125.6,8.1,7.7,6.3 / 1.4  ,36%,116.1
,,,,,,,,,,,,,,,,
,,FAOP,8-Mar-2025,,6.00,,176.9,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,8-Mar-2025,,19.30,13.5,170.7,,Arrival .RWS,22.6,125.8,9.3,6.2,5 / 1.2  ,35%,115.3
 ,,,,,,,,,,,,,,,,
,,FAOP,9-Mar-2025,,18.30,,165.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,10-Mar-2025,,8.00,13.5,158.6,,Arrival .KP,30.2,116.1,8.6,6.5,5.5 / 1.1  ,36%,116.1
,,,,,,,,,,,,,,,,
,,FAOP,11-Mar-2025,,0.06,,155.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,11-Mar-2025,,12.00,11.9,149.6,,Arrival .RWS,17.8,120.3,10.1,6.0,5.0 /1.0  ,36%,115.9
 ,,,,,,,,,,,,,,,,
,,FAOP,12-Mar-2025,,12.30,,143.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,13-Mar-2025,,2.00,13.5,136.8,,Arrival .KP,26.3,122.0,9.0,7.0,5.8 / 1.2  ,37%,115.6
,,,,,,,,,,,,,,,,
,,FAOP,13-Mar-2025,,17.30,,133.9,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,14-Mar-2025,,7.00,13.5,126.7,,Arrival .RWS,25.4,124.2,9.2,7.2,6 / 1.2  ,38%,116.1
,,,,,,,,,,,,,,,,
,,FAOP,15-Mar-2025,,3.30,,121.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,15-Mar-2025,,16.30,13.0,113.8,,Arrival .KP,29.5,120.1,9.2,7.8,6.6 / 1.2  ,43%,124.0
,,,,,,,,,,,,,,,,
,,FAOP,18-Mar-2025,,5.00,,107.9,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,18-Mar-2025,,18.30,13.5,100.1,,Arrival .RWS,21.7,133.8,9.9,7.8,6.5 / 1.3  ,40%,119.3
 ,,,,,,,,,,,,,,,,
,,FAOP,19-Mar-2025,,18.30,,95.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,20-Mar-2025,,9.00,14.5,87.5,,Arrival .KP,31.5,122.2,8.4,7.5,6.2 / 1.3  ,36%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,21-Mar-2025,,12.00,,582.3,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,22-Mar-2025,,0.30,12.5,575.6,,Arrival .RWS,19.1,124.7,10.0,6.7,5.5 / 1.2  ,38%,116.1
 ,,,,,,,,,,,,,,,,
,,FAOP,22-Mar-2025,,22.00,,570.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,23-Mar-2025,,12.00,14.0,562.8,,Arrival .KP,32.2,116.8,8.3,7.2,6 / 1.2  ,38%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,24-Mar-2025,,23.00,,558.0,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,25-Mar-2025,,17.00,18.0,548.4,,Arrival .RWS,40.2,130.5,7.3,9.6,7.9 / 1.7  ,45%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,26-Mar-2025,,20.00,,541.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,27-Mar-2025,,10.00,14.0,534.0,,Arrival .KP,30.6,120.0,8.6,7.2,6.1 / 1.2  ,38%,116.5
,,,,,,,,,,,,,,,,
,,FAOP,28-Mar-2025,,3.30,,530.4,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,28-Mar-2025,,17.00,13.5,523.4,,Arrival .RWS,22.0,126.6,9.4,7.0,5.8 /1.2  ,36%,115.3
,,,,,,,,,,,,,,,,
,,FAOP,29-Mar-2025,,19.30,,517.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,30-Mar-2025,,10.00,14.5,509.6,,Arrival .KP,31.0,123.4,8.5,7.7,6.4 / 1.3  ,38%,116.2
,,,,,,,,,,,,,,,,
,,FAOP,31-Mar-2025,,0.30,0.5,506.6,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,31-Mar-2025,,13.30,13.0,499.6,,Arrival .RWS,20.7,128.5,9.9,7.0,5.8 / 1.2  ,38%,122.2
,,,,,,,,,,,,,,,,
,,FAOP,1-Apr-2025,,9.30,,494.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,1-Apr-2025,,22.30,13.0,487.1,,Arrival .KP,25.9,118.3,9.1,6.9,5.8 / 1.1  ,37%,115.9
,,,,,,,,,,,,,,,,
,,FAOP,3-Apr-2025,,20.30,,480.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,4-Apr-2025,,10.00,13.5,473.1,,Arrival .RWS,22.5,129.0,9.6,7.1,5.9 / 1.2  ,38%,116.2
,,,,,,,,,,,,,,,,
,,FAOP,5-Apr-2025,,8.00,,467.7,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,5-Apr-2025,,21.00,13.0,460.7,,Arrival .KP,25.6,120.0,9.2,7.0,5.8 /1.2  ,40%,116.6
,,,,,,,,,,,,,,,,
,,FAOP,6-Apr-2025,,10.30,,458.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,6-Apr-2025,,23.30,13.0,451.3,,Arrival .RWS,20.8,127.0,9.8,6.9,5.7 / 1.2  ,39%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,7-Apr-2025,,23.00,,445.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,8-Apr-2025,,14.00,15.0,437.7,,Arrival .KP,30.2,128.9,8.6,7.9,6.5 / 1.4  ,39%,116.5
,,,,,,,,,,,,,,,,
,,FAOP,9-Apr-2025,,5.00,,435.1,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,9-Apr-2025,,19.00,14.0,427.5,,Arrival .RWS,26.2,127.0,9.1,7.6,6.3 / 1.3  ,38%,115.9
,,,,,,,,,,,,,,,,
,,FAOP,11-Apr-2025,,2.30,,421.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,11-Apr-2025,,17.00,14.5,414.2,,Arrival .KP,28.0,123.0,8.5,7.1,5.7 /1.4  ,31%,113.0
,,,,,,,,,,,,,,,,
,,FAOP,12-Apr-2025,,10.00,,411.3,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,12-Apr-2025,,22.30,12.5,404.6,,Arrival .RWS,17.7,126.8,10.1,6.7,5.5 / 1.2  ,38%,115.9
,,,,,,,,,,,,,,,,
,,FAOP,13-Apr-2025,,14.00,,400.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,14-Apr-2025,,3.30,13.5,392.7,,Arrival .KP,30.7,115.2,8.5,7.3,6 /1.3  ,38%,116.1
,,,,,,,,,,,,,,,,
,,FAOP,14-Apr-2025,,20.00,,389.2,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,15-Apr-2025,,9.00,13.0,382.2,,Arrival .RWS,21.3,126.0,9.7,7.0,5.8 / 1.2 /0,38%,116.1
,,,,,,,,,,,,,,,,
,,FAOP,18-Apr-2025,,21.00,,369.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,19-Apr-2025,,11.30,14.5,361.2,,Arrival .KP,30.6,124.0,8.6,7.8,6.4 /1.4  ,38%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,20-Apr-2025,,4.30,,357.8,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,20-Apr-2025,,18.00,13.5,350.4,,Arrival .RWS,25.2,124.4,9.2,7.4,6.1 / 1.3  ,38%,116.0
,,,,,,,,,,,,,,,,
,,FAOP,22-Apr-2025,,21.30,,340.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,23-Apr-2025,,12.00,14.5,332.7,,Arrival .KP,32.8,120.5,8.3,7.8,6.4 / 1.4  ,39%,116.5
,,,,,,,,,,,,,,,,
,,FAOP,24-Apr-2025,,3.00,,329.7,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,24-Apr-2025,,16.30,13.5,322.2,,Arrival .RWS,23.5,127.3,9.4,7.5,6.2 / 1.3  ,39%,116.5
,,,,,,,,,,,,,,,,
,,FAOP,26-Apr-2025,,5.00,,314.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Apr-2025,,18.30,13.5,307.0,,Arrival .KP,27.3,121.0,9.0,7.5,6.2 / 1.3  ,38%,116.4
,,,,,,,,,,,,,,,,
,,FAOP,27-Apr-2025,,12.30,,303.3,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,28-Apr-2025,,1.30,13.0,296.0,,Arrival .RWS,21.8,125.4,9.6,7.3,6 / 1.3  ,37%,116.2
,,,,,,,,,,,,,,,,
,,FAOP,2-May-2025,,15.30,,278.0,,Out to Sea ( RWS → CSC  ),,,,,,,
,,EOSP,3-May-2025,,5.30,14.0,270.4,,Arrival .KP,30.5,120.0,8.6,7.6,6.3 / 1.3  ,38%,116.2
,,,,,,,,,,,,,,,,
,,FAOP,3-May-2025,,21.30,,267.4,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,4-May-2025,,11.00,13.5,259.9,,Arrival .RWS,23.6,127.2,9.4,7.5,6.2 / 1.3  ,38%,116.2
,,,,,,,,,,,,,,,,
,,FAOP,6-May-2025,,0.30,,251.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,6-May-2025,,14.30,14.0,244.2,,Arrival .KP,30.3,121.3,8.7,7.6,6.3 / 1.3  ,38%,116.3
,,,,,,,,,,,,,,,,
,,FAOP,7-May-2025,,23.30,,238.4,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,8-May-2025,,15.00,15.5,229.5,,Arrival .RWS,34.6,125.2,8.1,8.9,7.5 / 1.4  ,40%,117.0
,,,,,,,,,,,,,,,,
,,FAOP,9-May-2025,,20.00,,222.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,10-May-2025,,10.00,14.0,214.6,,Arrival .KP,28.8,123.1,8.8,7.8,6.6 / 1.2  ,38%,116.3
,,,,,,,,,,,,,,,,
,,FAOP,11-May-2025,,2.00,,211.5,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,11-May-2025,,15.00,13.0,204.2,,Arrival .RWS,22.2,125.0,9.6,7.3,6.1 / 1.2  ,37%,116.4
,,,,,,,,,,,,,,,,
,,FAOP,15-May-2025,,15.00,,176.5,,Out to Sea (KP→ RWS ),,,,,,,
,,EOSP,16-May-2025,,2.00,11.0,170.1,,Arrival .RWS,14.1,124.2,11.3,6.4,5.3 / 1.1  ,37%,123.8
,,,,,,,,,,,,,,,,
,,FAOP,20-May-2025,,9.00,2.3,151.8,,Out to Sea ( RWS → KP  ),,,,,,,
