Event;Date;Time;Total trip time;Place;Slip;Total Distance;Avg speed;FOC;LOAD ;RPM
FAOP;13/3/2024;4:00;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;13/3/2024;14:42;10.7;Arrival. khalifa ;24;123;11.5;8.2 Ê;64%;143
;;;;;;;; Ê;;
FAOP;14/3/2024;20:30;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;15/3/2024;6:00;9.5;Arrival .ruwais;20.1;114;12;7.4 Ê;66%;142
;;;;;;;; Ê;;
FAOP;16/3/2024;2:12;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;16/3/2024;14:06;11.9;Arrival. khalifa ;26;120.1;10.1;7.0Ê;48%;129
;;;;;;;; Ê;;
FAOP;19/3/2024;17:18;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;20/3/2024;6:48;13.5;Arrival. khalifa ;27.8;127;9.4;7.2 Ê;43%;123
;;;;;;;; Ê;;
FAOP;21/3/2024;0:48;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;21/3/2024;14:00;13.2;Arrival .ruwais;27.9;125;9.5;7.2 Ê;42%;124
;;;;;;;; Ê;;
FAOP;22/3/2024;13:24;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;23/3/2024;2:06;12.7;Arrival. khalifa ;24.5;125;9.8;6.8 Ê;43%;123
;;;;;;;; Ê;;
FAOP;23/3/2024;17:48;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;24/3/2024;5:00;11.2;Arrival .ruwais;18;120;10.7;6.0Ê;44%;123
;;;;;;;; Ê;;
FAOP;25/3/2024;18:42;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;26/3/2024;7:42;13;Arrival. khalifa ;26.6;125;9.6;6.8 Ê;45%;123
;;;;;;;; Ê;;
FAOP;27/3/2024;10:00;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;27/3/2024;23:12;13.2;Arrival .ruwais;27.5;126;9.5;7.1 Ê;45%;124
;;;;;;;; Ê;;
FAOP;28/3/2024;22:18;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;29/3/2024;11:00;12.7;Arrival. khalifa ;26.5;123;9.7;6.7 Ê;45%;124
;;;;;;;; Ê;;
FAOP;1/4/2024;9:12;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;1/4/2024;21:00;11.8;Arrival. khalifa ;21;122;10.3;6.3 Ê;45%;123
;;;;;;;; Ê;;
FAOP;2/4/2024;19:24;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;3/4/2024;7:00;11.6;Arrival .ruwais;19.7;123;10.6;6.3 Ê;47%;124
;;;;;;;; Ê;;
FAOP;4/4/2024;7:00;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;4/4/2024;18:00;11;Arrival. khalifa ;21.4;120;10.9;6.7 Ê;53%;131
;;;;;;;; Ê;;
FAOP;5/4/2024;17:48;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;6/4/2024;5:12;11.4;Arrival .ruwais;18.9;120;10.5;6.1 Ê;43%;122
;;;;;;;; Ê;;
FAOP;7/4/2024;3:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;7/4/2024;15:42;12.1;Arrival. khalifa ;26.5;122;10.1;7.4 Ê;44%;129
;;;;;;;; Ê;;
FAOP;8/4/2024;9:42;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;8/4/2024;21:12;11.5;Arrival .ruwais;18;124;10.8;6.3 Ê;42%;124
;;;;;;;; Ê;;
FAOP;9/4/2024;20:42;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;10/4/2024;9:12;12.5;Arrival. khalifa ;24.9;123;9.8;6.6 Ê;48%;124
;;;;;;;; Ê;;
FAOP;11/4/2024;2:12;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;11/4/2024;14:24;12.2;Arrival .ruwais;22.8;123;10.1;6.3 Ê;43%;123
;;;;;;;; Ê;;
FAOP;20/4/2024;14:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;21/4/2024;1:42;11.6;Arrival. khalifa ;19.5;122;10.5;6.1 Ê;44%;123
;;;;;;;; Ê;;
FAOP;21/4/2024;19:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;22/4/2024;5:12;9.6;Arrival .ruwais;16;118.7;12.4;6.7 Ê;59%;137
;;;;;;;; Ê;;
FAOP;25/4/2024;13:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;26/4/2024;2:30;12.9;Arrival .ruwais;17.5;136.2;10.6;6.3 Ê;41%;121
;;;;;;;; Ê;;
FAOP;27/4/2024;0:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;27/4/2024;11:30;10.9;Arrival. khalifa ;23.2;120.8;11.1;7.3 Ê;64%;136
;;;;;;;; Ê;;
FAOP;28/4/2024;8:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;28/4/2024;17:48;9.7;Arrival .ruwais;20.9;113.2;11.7;6.9 Ê;61%;139
;;;;;;;; Ê;;
FAOP;29/4/2024;18:42;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;30/4/2024;6:30;11.8;Arrival. khalifa ;23.3;119.5;10.1;6.3 Ê;39%;124
;;;;;;;; Ê;;
FAOP;1/5/2024;0:12;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;1/5/2024;11:00;10.8;Arrival .ruwais;21.5;119.8;11.1;6.9 Ê;44%;133
;;;;;;;; Ê;;
FAOP;3/5/2024;10:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;3/5/2024;22:00;11.9;Arrival. khalifa ;28;115.2;9.7;6.7 Ê;46%;126
;;;;;;;; Ê;;
FAOP;5/5/2024;9:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;5/5/2024;18:00;8.9;Arrival .ruwais;20.8;106;11.9;6.9 Ê;66%;142
;;;;;;;; Ê;;
FAOP;6/5/2024;14:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;7/5/2024;2:00;11.9;Arrival. khalifa ;26.6;119.7;10.1;7.1 Ê;48%;129
;;;;;;;; Ê;;
FAOP;7/5/2024;19:00;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;8/5/2024;5:54;10.9;Arrival .ruwais;15.8;118.3;10.9;5.7 Ê;44%;122
;;;;;;;; Ê;;
FAOP;10/5/2024;6:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;10/5/2024;17:00;10.9;Arrival. khalifa ;23;123.1;11.3;8.4 Ê;64%;139
;;;;;;;; Ê;;
FAOP;11/5/2024;11:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;11/5/2024;22:42;11.6;Arrival .ruwais;21;118;10.2;6.2 Ê;40%;121
;;;;;;;; Ê;;
FAOP;12/5/2024;17:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;13/5/2024;5:00;11.9;Arrival. khalifa ;22.1;119.7;10.1;6.1 Ê;42%;122
;;;;;;;; Ê;;
FAOP;14/5/2024;3:12;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;14/5/2024;14:00;10.8;Arrival .ruwais;23.6;117.9;10.9;7.3 Ê;52%;135
;;;;;;;; Ê;;
FAOP;15/5/2024;11:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;15/5/2024;21:42;10.6;Arrival. khalifa ;24.8;119.3;11.3;8.0Ê;44%;141
;;;;;;;; Ê;;
FAOP;16/5/2024;17:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;17/5/2024;5:30;11.9;Arrival .ruwais;22;119.2;10;6.2 Ê;41%;121
;;;;;;;; Ê;;
FAOP;18/5/2024;4:12;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;18/5/2024;15:00;10.8;Arrival. khalifa ;26;120.6;11.2;8.8 Ê;65%;142
;;;;;;;; Ê;;
FAOP;19/5/2024;15:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;20/5/2024;3:00;11.9;Arrival .ruwais;21.9;119.5;10;6.4 Ê;44%;121
;;;;;;;; Ê;;
FAOP;21/5/2024;0:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;21/5/2024;11:54;11.8;Arrival. khalifa ;21.5;119;10.1;6.7 Ê;46%;121
;;;;;;;; Ê;;
FAOP;25/5/2024;12:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;25/5/2024;23:00;10.9;Arrival. khalifa ;30.5;101.3;9.3;7.2 Ê;52%;126
;;;;;;;; Ê;;
FAOP;27/5/2024;11:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;27/5/2024;21:00;9.9;Arrival .ruwais;22.4;113.7;11.5;7.7 Ê;61%;140
;;;;;;;; Ê;;
FAOP;28/5/2024;18:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;29/5/2024;6:00;11.9;Arrival. khalifa ;29.4;108.3;9.1;6.7 Ê;42%;121
;;;;;;;; Ê;;
FAOP;30/5/2024;0:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;30/5/2024;11:00;10.9;Arrival .ruwais;24.6;120.1;11;8.3 Ê;64%;138
;;;;;;;; Ê;;
FAOP;3/6/2024;23:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;4/6/2024;8:00;8.9;Arrival .ruwais;15.1;115.7;13;7.4 Ê;61%;144
;;;;;;;; Ê;;
FAOP;5/6/2024;9:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;5/6/2024;17:00;7.9;Arrival. khalifa ;13.8;109.9;13.9;7.7 Ê;62%;153
;;;;;;;; Ê;;
FAOP;6/6/2024;14:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;7/6/2024;0:00;9.9;Arrival .ruwais;9.8;115.2;11.6;52. Ê;30%;121
;;;;;;;; Ê;;
FAOP;7/6/2024;19:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;8/6/2024;6:00;10.9;Arrival. khalifa ;17.1;116;10.6;5.9 Ê;32%;121
;;;;;;;; Ê;;
FAOP;9/6/2024;4:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;9/6/2024;14:00;9.9;Arrival .ruwais;14.5;119.2;12;6.4 Ê;38%;130
;;;;;;;; Ê;;
FAOP;11/6/2024;2:18;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;11/6/2024;12:30;10.2;Arrival. khalifa ;16.1;112.8;11.1;5.7 Ê;34%;121
;;;;;;;; Ê;;
FAOP;12/6/2024;8:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;12/6/2024;18:00;9.9;Arrival .ruwais;12.8;121.2;12.2;6.9 Ê;41%;134
;;;;;;;; Ê;;
FAOP;14/6/2024;3:42;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;14/6/2024;14:30;10.8;Arrival. khalifa ;15.3;119;11;5.37 Ê;32%;121
;;;;;;;; Ê;;
FAOP;15/6/2024;17:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;16/6/2024;5:00;11.9;Arrival .ruwais;21;121.2;10.2;6.3 Ê;30%;122
;;;;;;;; Ê;;
FAOP;17/6/2024;4:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;17/6/2024;14:00;9.9;Arrival. khalifa ;19.3;113.8;11.5;7.1 Ê;47%;132
;;;;;;;; Ê;;
FAOP;18/6/2024;14:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;19/6/2024;2:00;11.9;Arrival .ruwais;19.7;122.6;10.3;6.5 Ê;31%;121
;;;;;;;; Ê;;
FAOP;20/6/2024;2:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;20/6/2024;13:00;10.9;Arrival. khalifa ;20.3;112.8;10.3;6.0Ê;30%;121
;;;;;;;; Ê;;
FAOP;21/6/2024;12:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;21/6/2024;19:42;7.6;Arrival .ruwais;12.2;111.8;14.7;8.4 Ê;77%;158
;;;;;;;; Ê;;
FAOP;22/6/2024;16:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;23/6/2024;4:00;11.9;Arrival. khalifa ;26.3;112.6;9.5;6.8 Ê;32%;121
;;;;;;;; Ê;;
FAOP;24/6/2024;4:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;24/6/2024;13:00;8.9;Arrival .ruwais;18.1;118.6;13.3;8.7 Ê;64%;151
;;;;;;;; Ê;;
FAOP;25/6/2024;12:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;25/6/2024;20:48;8.7;Arrival. khalifa ;17.9;115.5;13.3;9. Ê;65%;152
;;;;;;;; Ê;;
FAOP;26/6/2024;16:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;27/6/2024;4:00;11.9;Arrival .ruwais;22.3;119.2;10;6.8 Ê;32%;122
;;;;;;;; Ê;;
FAOP;28/6/2024;4:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;28/6/2024;14:30;9.9;Arrival. khalifa ;18.9;108.9;11;6.6 Ê;36%;128
;;;;;;;; Ê;;
FAOP;29/6/2024;17:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;30/6/2024;4:00;10.4;Arrival .ruwais;17.2;110.6;10.6;5.9 Ê;32%;121
;;;;;;;; Ê;;
FAOP;1/7/2024;4:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;1/7/2024;15:30;10.9;Arrival. khalifa ;18.1;114.6;10.5;6.0Ê;32%;121
;;;;;;;; Ê;;
FAOP;2/7/2024;13:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;3/7/2024;1:30;11.9;Arrival .ruwais;25.9;113.2;9.5;6.6 Ê;31%;121
;;;;;;;; Ê;;
FAOP;4/7/2024;1:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;4/7/2024;10:00;8.4;Arrival. khalifa ;16.6;107.3;12.8;7.5 Ê;56%;144
;;;;;;;; Ê;;
FAOP;5/7/2024;9:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;5/7/2024;21:00;11.9;Arrival .ruwais;24.1;117.8;9.9;6.8 Ê;33%;121
;;;;;;;; Ê;;
FAOP;6/7/2024;19:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;7/7/2024;7:30;11.9;Arrival. khalifa ;20.5;121.5;10.2;5.9 Ê;32%;121
;;;;;;;; Ê;;
FAOP;8/7/2024;6:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;8/7/2024;14:42;8.1;Arrival .ruwais;28;105;13;6.4 Ê;7300%;158
;;;;;;;; Ê;;
FAOP;9/7/2024;16:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;10/7/2024;4:00;11.9;Arrival. khalifa ;25.5;114.3;9.6;5.0Ê;32%;122
;;;;;;;; Ê;;
FAOP;10/7/2024;22:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;11/7/2024;9:00;10.9;Arrival .ruwais;18.5;118.6;10.9;4.9 Ê;44%;126
;;;;;;;; Ê;;
FAOP;25/7/2024;20:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;26/7/2024;8:00;11.9;Arrival .ruwais;20.3;129.5;10.9;5.5 Ê;42%;129
;;;;;;;; Ê;;
FAOP;5/8/2024;15:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;6/8/2024;3:00;11.9;Arrival. khalifa ;29.2;113.4;9.5;5.5 Ê;39%;127
;;;;;;;; Ê;;
FAOP;7/8/2024;0:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;7/8/2024;10:36;10;Arrival .ruwais;19.5;109.9;11;4.6 Ê;40%;129
;;;;;;;; Ê;;
FAOP;12/8/2024;6:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;12/8/2024;16:00;9.9;Arrival. khalifa ;21.6;116.5;11.8;5.6 Ê;44%;131
;;;;;;;; Ê;;
FAOP;13/8/2024;20:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;14/8/2024;6:00;9.4;Arrival .ruwais;16.9;107.2;11.4;4.4 Ê;41%;129
;;;;;;;; Ê;;
FAOP;15/8/2024;8:06;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;15/8/2024;15:00;6.9;Arrival. khalifa ;20.2;74.9;10.9;3.4 Ê;40%;129
;;;;;;;; Ê;;
FAOP;16/8/2024;22:36;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;17/8/2024;9:48;11.2;Arrival .ruwais;17.2;126.8;11.3;5.3 Ê;42%;129
;;;;;;;; Ê;;
FAOP;18/8/2024;19:48;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
