,,,,,,,,,,,,,,,
,,,Event,Date,,Time,Total trip time,S t a t u s,Place,Slip,Total Distance,Avg speed,FOC,LOAD ,RPM
,,,FAOP,03/05/2024,,10:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/05/2024,,08:48:00 PM,0.708333333333334,,Arrival.KHL .KP ,22.3,120,169.411764705882,7.7  ,67%,142.7
,,,,,,,,,,,,,  ,,
,,,FAOP,03/06/2024,,01:30:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/07/2024,,12:12:00 AM,23.0763888888889,,Arrival .RWS,20.5,126,5.46012639181463,7.8  ,63%,139.5
,,,,,,,,,,,,,  ,,
,,,FAOP,03/07/2024,,09:00:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/08/2024,,09:06:00 AM,23.1736111111111,,Arrival.KHL .KP ,28.6,123,5.30776146239137,8.  ,67%,134.1
,,,,,,,,,,,,,  ,,
,,,FAOP,03/09/2024,,03:12:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/09/2024,,01:30:00 PM,0.715277777777778,,Arrival .RWS,19.3,124,173.359223300971,8.1  ,64%,140.6
,,,,,,,,,,,,,  ,,
,,,FAOP,03/10/2024,,02:00:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/11/2024,,12:30:00 AM,23.0625,,Arrival.KHL .KP ,23.4,122,5.289972899729,8.2  ,66%,142.9
,,,,,,,,,,,,,  ,,
,,,FAOP,03/11/2024,,09:18:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/12/2024,,07:00:00 AM,23.0069444444444,,Arrival .RWS,15.7,123,5.34621189254452,7.6  ,64%,141.7
,,,,,,,,,,,,,  ,,
,,,FAOP,03/13/2024,,04:00:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/13/2024,,02:42:00 PM,0.743055555555555,,Arrival.KHL .KP ,24,123,165.532710280374,8.2  ,64%,142.7
,,,,,,,,,,,,,  ,,
,,,FAOP,03/14/2024,,08:30:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/15/2024,,06:00:00 AM,22.9930555555556,,Arrival .RWS,20.1,114,4.95801872546059,7.4  ,66%,141.5
,,,,,,,,,,,,,  ,,
,,,FAOP,03/16/2024,,02:12:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/16/2024,,02:06:00 PM,0.826388888888889,,Arrival.KHL .KP ,26,120.1,145.331092436975,7.  ,48%,128.9
,,,,,,,,,,,,,  ,,
,,,FAOP,03/19/2024,,05:18:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/20/2024,,06:48:00 AM,23.2708333333333,,Arrival.KHL .KP ,27.8,127,5.45747538048344,7.2  ,43%,122.8
,,,,,,,,,,,,,  ,,
,,,FAOP,03/21/2024,,12:48:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/21/2024,,02:00:00 PM,0.916666666666667,,Arrival .RWS,27.9,125,136.363636363636,7.2  ,42%,123.8
,,,,,,,,,,,,,  ,,
,,,FAOP,03/22/2024,,01:24:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/23/2024,,02:06:00 AM,23.2152777777778,,Arrival.KHL .KP ,24.5,125,5.38438528268023,6.8  ,43%,122.8
,,,,,,,,,,,,,  ,,
,,,FAOP,03/23/2024,,05:48:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/24/2024,,05:00:00 AM,23.1111111111111,,Arrival .RWS,18,120,5.19230769230769,6.  ,44%,123.2
,,,,,,,,,,,,,  ,,
,,,FAOP,03/25/2024,,06:42:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/26/2024,,07:42:00 AM,23.2361111111111,,Arrival.KHL .KP ,26.6,125,5.37955768081291,6.8  ,45%,123.4
,,,,,,,,,,,,,  ,,
,,,FAOP,03/27/2024,,10:00:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,03/27/2024,,11:12:00 PM,0.916666666666667,,Arrival .RWS,27.5,126,137.454545454545,7.1  ,45%,124
,,,,,,,,,,,,,  ,,
,,,FAOP,03/28/2024,,10:18:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,03/29/2024,,11:00:00 AM,23.2152777777778,,Arrival.KHL .KP ,26.5,123,5.29823511815734,6.7  ,45%,124.2
,,,,,,,,,,,,,  ,,
,,,FAOP,04/01/2024,,09:12:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/01/2024,,09:00:00 PM,0.819444444444445,,Arrival.KHL .KP ,21,122,148.881355932203,6.3  ,45%,123.1
,,,,,,,,,,,,,  ,,
,,,FAOP,04/02/2024,,07:24:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/03/2024,,07:00:00 AM,23.1388888888889,,Arrival .RWS,19.7,123,5.31572629051621,6.3  ,47%,124.3
,,,,,,,,,,,,,  ,,
,,,FAOP,04/04/2024,,07:00:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/04/2024,,06:00:00 PM,0.763888888888889,,Arrival.KHL .KP ,21.4,120,157.090909090909,6.7  ,53%,130.6
,,,,,,,,,,,,,  ,,
,,,FAOP,04/05/2024,,05:48:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/06/2024,,05:12:00 AM,23.125,,Arrival .RWS,18.9,120,5.18918918918919,6.1  ,43%,122.3
,,,,,,,,,,,,,  ,,
,,,FAOP,04/07/2024,,03:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/07/2024,,03:42:00 PM,0.840277777777778,,Arrival.KHL .KP ,26.5,122,145.190082644628,7.4  ,44%,129.2
,,,,,,,,,,,,,  ,,
,,,FAOP,04/08/2024,,09:42:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/08/2024,,09:12:00 PM,0.798611111111111,,Arrival .RWS,18,124,155.269565217391,6.3  ,42%,124
,,,,,,,,,,,,,  ,,
,,,FAOP,04/09/2024,,08:42:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/10/2024,,09:12:00 AM,23.2013888888889,,Arrival.KHL .KP ,24.9,123,5.30140676444178,6.6  ,48%,123.5
,,,,,,,,,,,,,  ,,
,,,FAOP,04/11/2024,,02:12:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/11/2024,,02:24:00 PM,0.847222222222222,,Arrival .RWS,22.8,123,145.180327868852,6.3  ,43%,123.1
,,,,,,,,,,,,,  ,,
,,,FAOP,04/20/2024,,02:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/21/2024,,01:42:00 AM,23.1388888888889,,Arrival.KHL .KP ,19.5,122,5.27250900360144,6.1  ,44%,123.1
,,,,,,,,,,,,,  ,,
,,,FAOP,04/21/2024,,07:36:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/22/2024,,05:12:00 AM,23,,Arrival .RWS,16,118.7,5.16086956521739,6.7  ,59%,137.2
,,,,,,,,,,,,,  ,,
,,,FAOP,04/25/2024,,01:36:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/26/2024,,02:30:00 AM,23.2291666666667,,Arrival .RWS,17.5,136.2,5.86331838565022,6.3  ,41%,120.6
,,,,,,,,,,,,,  ,,
,,,FAOP,04/27/2024,,12:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/27/2024,,11:30:00 AM,0.756944444444445,,Arrival.KHL .KP ,23.2,120.8,159.588990825688,7.3  ,64%,136
,,,,,,,,,,,,,  ,,
,,,FAOP,04/28/2024,,08:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,04/28/2024,,05:48:00 PM,0.673611111111111,,Arrival .RWS,20.9,113.2,168.049484536082,6.9  ,61%,139
,,,,,,,,,,,,,  ,,
,,,FAOP,04/29/2024,,06:42:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,04/30/2024,,06:30:00 AM,23.1527777777778,,Arrival.KHL .KP ,23.3,119.5,5.16136772645471,6.3  ,39%,124.4
,,,,,,,,,,,,,  ,,
,,,FAOP,05/01/2024,,12:12:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/01/2024,,11:00:00 AM,0.75,,Arrival .RWS,21.5,119.8,159.733333333333,6.9  ,44%,133.1
,,,,,,,,,,,,,  ,,
,,,FAOP,05/03/2024,,10:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
